year,month,day,country,hs_code,export_value,export_weight,import_value,import_weight,unit_price,date,price_chg_3m,vol_chg_3m,price_chg_6m,vol_chg_6m,price_chg_12m,vol_chg_12m
2010,1,1,Canada,7202,0,0,818564,34000,,2010.1.1,,,,,,
2010,2,1,Canada,7202,0,0,77793,3000,,2010.2.1,,,,,,
2010,3,1,Canada,7202,0,0,415896,17000,,2010.3.1,,,,,,
2010,4,1,Canada,7202,0,0,470700,19000,,2010.4.1,,,,,,
2010,5,1,Canada,7202,0,0,408337,17000,,2010.5.1,,,,,,
2010,6,1,Canada,7202,0,0,857337,35000,,2010.6.1,,,,,,
2010,7,1,Canada,7202,0,0,412835,17000,,2010.7.1,,,,,,
2010,8,1,Canada,7202,0,0,110427,4000,,2010.8.1,,,,,,
2010,9,1,Canada,7202,477150,20000,487298,19500,23.8575,2010.9.1,,,,,,
2010,10,1,Canada,7202,0,0,828668,34000,,2010.10.1,,,,,,
2010,11,1,Canada,7202,0,0,412460,17000,,2010.11.1,,,,,,
2010,12,1,Canada,7202,0,0,408212,17000,,2010.12.1,,,,,,
2011,1,1,Canada,7202,0,0,413397,17000,,2011.1.1,,,,,,
2011,2,1,Canada,7202,0,0,0,0,,2011.2.1,,,,,,
2011,3,1,Canada,7202,0,0,996665,38000,,2011.3.1,,,,,,
2011,4,1,Canada,7202,0,0,0,0,,2011.4.1,,,,,,
2011,5,1,Canada,7202,0,0,982132,37722,,2011.5.1,,,,,,
2011,6,1,Canada,7202,0,0,509968,19500,,2011.6.1,,,,,,
2011,7,1,Canada,7202,363374,279900,433261,16500,1.298227939,2011.7.1,,,,,,
2011,8,1,Canada,7202,0,0,427366,16500,,2011.8.1,,,,,,
2011,9,1,Canada,7202,0,0,428013,16500,,2011.9.1,,,,,,
2011,10,1,Canada,7202,0,0,570799,21500,,2011.10.1,,,,,,
2011,11,1,Canada,7202,0,0,856357,33000,,2011.11.1,,,,,,
2011,12,1,Canada,7202,163794,60000,699804,27000,2.7299,2011.12.1,,,,,,
2012,1,1,Canada,7202,0,0,0,0,,2012.1.1,,,,,,
