case_id,imposing_country,hs_4digit,target_country,start_ym,start_date,end_date,date_type,regulation_type,regulation_status,is_korea_target,tariff_clean
17,AM,7202,우크라이나,2016-10,2016-10-28,2027-12-05,confirmed,반덤핑,규제중,0,ㅇ 판정결과 : 26.35%
27,AM,7210,우크라이나,2020-01,2020-01-05,2025-09-01,confirmed,반덤핑,규제중,0,ㅇ 판정결과  ·  우크라이나 : 23.90%  ·  중국 : 12.69 ~ 17%
27,AM,7210,중국,2020-01,2020-01-05,2025-09-01,confirmed,반덤핑,규제중,0,ㅇ 판정결과  ·  우크라이나 : 23.90%  ·  중국 : 12.69 ~ 17%
34,AM,7210,중국,2012-07,2012-07-01,2028-07-17,confirmed,반덤핑,규제중,0,ㅇ 판정결과 : 6.98 ~ 20.20%* 일몰재심후 규제 연장
37,AM,7202,그루지야,2023-01,2023-01-22,2028-01-21,confirmed,반덤핑,규제중,0,ㅇ 판정결과 : 21.40 ~ 24.22%
41,AM,7216,우크라이나,2017-06,2017-06-11,2028-03-06,confirmed,반덤핑,규제중,0,ㅇ 판정결과 : 37.89%
115,EU,7217,중국,2021-09,2021-09-03,2026-09-03,confirmed,반덤핑,규제중,0,ㅇ 판정결과 : 0 ~ 46.2%* 일몰재심후 조치 연장 결정(2021.9.2)
129,EU,7210,러시아,2022-08,2022-08-13,2027-08-13,confirmed,반덤핑,규제중,0,ㅇ 판정결과  ·  러시아 : 10.3~37.4%  ·  튀르키예 : 2.4 ~ 11%
129,EU,7210,튀르키예,2022-08,2022-08-13,2027-08-13,confirmed,반덤핑,규제중,0,ㅇ 판정결과  ·  러시아 : 10.3~37.4%  ·  튀르키예 : 2.4 ~ 11%
130,EU,7209,중국,2016-08,2016-08-04,2027-10-28,confirmed,반덤핑,규제중,0,"ㅇ 판정결과   ·  중국 : 19.7 ~ 22.1%  ·  러시아 : 18.7 ~ 36.1% * 2019.2.2~2024.6.30에는 SG 관세율(25%) 적용, 이보다 높은 경우 차액 적용(EU 2019/1382 부속서 2)"
130,EU,7209,러시아,2016-08,2016-08-04,2027-10-28,confirmed,반덤핑,규제중,0,"ㅇ 판정결과   ·  중국 : 19.7 ~ 22.1%  ·  러시아 : 18.7 ~ 36.1% * 2019.2.2~2024.6.30에는 SG 관세율(25%) 적용, 이보다 높은 경우 차액 적용(EU 2019/1382 부속서 2)"
145,EU,7210,중국,2018-02,2018-02-08,2029-03-12,confirmed,반덤핑,규제중,0,ㅇ 판정결과 : 17.2% ~ 27.9%
146,EU,7208,중국,2017-02,2017-02-28,2028-05-18,confirmed,반덤핑,규제중,0,"ㅇ 판정결과 : 65.1 ~ 73.7% * EU 철강 SG 시행기간(2019.2.2~2024.6.30)에는 SG 관세율(25%) 적용, 이보다 높은 경우 차액 적용(EU 2019/1382 부속서 2)"
147,EU,7213,중국,2021-10,2021-10-14,2026-10-14,confirmed,반덤핑,규제중,0,ㅇ 판정결과 : 7.9 ~ 24.0% *  2021.10.14 : 일몰재심후 5년 연장 결정
152,EU,7219,인도,2022-03,2022-03-16,2027-03-17,confirmed,상계관세,규제중,0,ㅇ 판정결과   ·  인도 : 4.3 ~ 7.5%  ·  인도네시아 : 0 ~ 21.4%
152,EU,7219,인도네시아,2022-03,2022-03-16,2027-03-17,confirmed,상계관세,규제중,0,ㅇ 판정결과   ·  인도 : 4.3 ~ 7.5%  ·  인도네시아 : 0 ~ 21.4%
156,EU,7219,인도,2021-11,2021-11-19,2026-11-19,confirmed,반덤핑,규제중,0,ㅇ 판정결과  · 인도 : 10.0 ~ 35.3%  · 인도네시아 : 9.3 ~ 20.2%
156,EU,7219,인도네시아,2021-11,2021-11-19,2026-11-19,confirmed,반덤핑,규제중,0,ㅇ 판정결과  · 인도 : 10.0 ~ 35.3%  · 인도네시아 : 9.3 ~ 20.2%
158,EU,7219,중국,2021-09,2021-09-17,2026-09-17,confirmed,반덤핑,규제중,0,ㅇ 판정결과   ·  중국 : 24.4 ~ 25.3%  ·  대만 : 0 ~ 6.8%
158,EU,7219,대만,2021-09,2021-09-17,2026-09-17,confirmed,반덤핑,규제중,0,ㅇ 판정결과   ·  중국 : 24.4 ~ 25.3%  ·  대만 : 0 ~ 6.8%
159,EU,7219,인도네시아,2020-10,2020-10-07,2025-10-08,confirmed,반덤핑,규제중,0,ㅇ 판정결과   · 인도네시아 : 17.3%  · 중국 : 9.2 ~ 19.0%  · 대만 :  4.1 ~ 7.5%
159,EU,7219,중국,2020-10,2020-10-07,2025-10-08,confirmed,반덤핑,규제중,0,ㅇ 판정결과   · 인도네시아 : 17.3%  · 중국 : 9.2 ~ 19.0%  · 대만 :  4.1 ~ 7.5%
159,EU,7219,대만,2020-10,2020-10-07,2025-10-08,confirmed,반덤핑,규제중,0,ㅇ 판정결과   · 인도네시아 : 17.3%  · 중국 : 9.2 ~ 19.0%  · 대만 :  4.1 ~ 7.5%
176,EU,7208,튀르키예,2021-07,2021-07-08,2026-07-07,confirmed,반덤핑,규제중,0,ㅇ 판정결과 : 4.7 ~ 7.3%
180,EU,7210,중국,2019-05,2019-05-03,2024-05-04,confirmed,반덤핑,규제중,0,ㅇ 판정결과 : 0 ~ 26.1%* 일몰재심 진행 중 (2024.4.30~)
195,EU,7225,일본,2022-01,2022-01-18,2027-01-18,confirmed,반덤핑,규제중,1,ㅇ 판정결과   ·  일본 : 35.9 ~ 39.0%  ·  중국 : 21.5 ~ 36.6%  ·  한국 : 22.5%  ·  러시아 : 21.6%  ·  미국 : 22% * 2022.1.14 : 일몰재심후 조치 연장 결정
195,EU,7225,중국,2022-01,2022-01-18,2027-01-18,confirmed,반덤핑,규제중,1,ㅇ 판정결과   ·  일본 : 35.9 ~ 39.0%  ·  중국 : 21.5 ~ 36.6%  ·  한국 : 22.5%  ·  러시아 : 21.6%  ·  미국 : 22% * 2022.1.14 : 일몰재심후 조치 연장 결정
195,EU,7225,한국,2022-01,2022-01-18,2027-01-18,confirmed,반덤핑,규제중,1,ㅇ 판정결과   ·  일본 : 35.9 ~ 39.0%  ·  중국 : 21.5 ~ 36.6%  ·  한국 : 22.5%  ·  러시아 : 21.6%  ·  미국 : 22% * 2022.1.14 : 일몰재심후 조치 연장 결정
195,EU,7225,러시아,2022-01,2022-01-18,2027-01-18,confirmed,반덤핑,규제중,1,ㅇ 판정결과   ·  일본 : 35.9 ~ 39.0%  ·  중국 : 21.5 ~ 36.6%  ·  한국 : 22.5%  ·  러시아 : 21.6%  ·  미국 : 22% * 2022.1.14 : 일몰재심후 조치 연장 결정
195,EU,7225,미국,2022-01,2022-01-18,2027-01-18,confirmed,반덤핑,규제중,1,ㅇ 판정결과   ·  일본 : 35.9 ~ 39.0%  ·  중국 : 21.5 ~ 36.6%  ·  한국 : 22.5%  ·  러시아 : 21.6%  ·  미국 : 22% * 2022.1.14 : 일몰재심후 조치 연장 결정
201,EU,7208,브라질,2017-04,2017-04-06,2028-12-14,confirmed,반덤핑,규제중,0,"ㅇ 판정결과   ·  브라질 : 53.4 ~ 63.0%  ·  이란 : 57.5%  ·  러시아 : 17.6 ~ 96.5% * EU 철강 SG 시행기간(2019.2.2~2024.6.30)에는 SG 관세율(25%) 적용, 이보다 높은 경우 차액 적용(EU 2019/1382 부속서 2) * 일몰재심후 규제 연장(2023.12.14~)"
201,EU,7208,이란,2017-04,2017-04-06,2028-12-14,confirmed,반덤핑,규제중,0,"ㅇ 판정결과   ·  브라질 : 53.4 ~ 63.0%  ·  이란 : 57.5%  ·  러시아 : 17.6 ~ 96.5% * EU 철강 SG 시행기간(2019.2.2~2024.6.30)에는 SG 관세율(25%) 적용, 이보다 높은 경우 차액 적용(EU 2019/1382 부속서 2) * 일몰재심후 규제 연장(2023.12.14~)"
201,EU,7208,러시아,2017-04,2017-04-06,2028-12-14,confirmed,반덤핑,규제중,0,"ㅇ 판정결과   ·  브라질 : 53.4 ~ 63.0%  ·  이란 : 57.5%  ·  러시아 : 17.6 ~ 96.5% * EU 철강 SG 시행기간(2019.2.2~2024.6.30)에는 SG 관세율(25%) 적용, 이보다 높은 경우 차액 적용(EU 2019/1382 부속서 2) * 일몰재심후 규제 연장(2023.12.14~)"
202,EU,7208,중국,2017-04,2017-04-06,2028-06-09,confirmed,반덤핑,규제중,0,ㅇ 판정결과 : 0 ~ 31.3%
203,EU,7208,중국,2017-06,2017-06-09,2028-06-09,confirmed,상계관세,규제중,0,ㅇ 판정결과 : 4.6 ~ 35.9%
208,EU,7214,벨라루스,2017-06,2017-06-17,2028-06-01,confirmed,반덤핑,규제중,0,ㅇ 판정결과 : 10.6%
218,EU,7202,러시아,2020-07,2020-07-01,2025-07-02,confirmed,반덤핑,규제중,0,ㅇ 판정결과   ·  러시아 : 17.8 ~ 22.7%  ·  중국 : 15.6 ~ 31.2%
218,EU,7202,중국,2020-07,2020-07-01,2025-07-02,confirmed,반덤핑,규제중,0,ㅇ 판정결과   ·  러시아 : 17.8 ~ 22.7%  ·  중국 : 15.6 ~ 31.2%
229,EU,7210,브라질,2022-11,2022-11-16,2027-11-17,confirmed,반덤핑,규제중,0,ㅇ 판정결과   · 브라질 : 348.39 Euro/tonne  ·  중국 : 239.82~607.98 Euro/t
229,EU,7210,중국,2022-11,2022-11-16,2027-11-17,confirmed,반덤핑,규제중,0,ㅇ 판정결과   · 브라질 : 348.39 Euro/tonne  ·  중국 : 239.82~607.98 Euro/t
231,EU,7216,튀르키예,2024-01,2024-01-12,2029-01-12,confirmed,반덤핑,규제중,0,ㅇ 판정결과  ·  중국 : 23.0%  ·  튀르키예 : 13.6%
231,EU,7216,중국,2024-01,2024-01-12,2029-01-12,confirmed,반덤핑,규제중,0,ㅇ 판정결과  ·  중국 : 23.0%  ·  튀르키예 : 13.6%
245,EU,7210,중국,2024-05,2024-05-16,,investigating,반덤핑,조사중,0,ㅇ 판정결과(잠정) : 14.1~62.6%* 2025.1.14: 잠정 관세 부과 결정문 발표
253,EU,7208,이집트,2024-08,2024-08-08,,investigating,반덤핑,조사중,0,"ㅇ 판정결과(잠정,사전고지) :   · 이집트: 15.6%  · 일본: 6.9~33%  · 베트남: 12.1%*인도는 반덤핑 무혐의 판정*2025.3.14: 잠정 관세에 대한 사전 고지 발표, 잠정 관세율만 발표되었으며 아직 잠정 관세 미 부과 단계, 향후 잠정 관세 부과에 대해 추가 발표 예정 "
253,EU,7208,인도,2024-08,2024-08-08,,investigating,반덤핑,조사중,0,"ㅇ 판정결과(잠정,사전고지) :   · 이집트: 15.6%  · 일본: 6.9~33%  · 베트남: 12.1%*인도는 반덤핑 무혐의 판정*2025.3.14: 잠정 관세에 대한 사전 고지 발표, 잠정 관세율만 발표되었으며 아직 잠정 관세 미 부과 단계, 향후 잠정 관세 부과에 대해 추가 발표 예정 "
253,EU,7208,일본,2024-08,2024-08-08,,investigating,반덤핑,조사중,0,"ㅇ 판정결과(잠정,사전고지) :   · 이집트: 15.6%  · 일본: 6.9~33%  · 베트남: 12.1%*인도는 반덤핑 무혐의 판정*2025.3.14: 잠정 관세에 대한 사전 고지 발표, 잠정 관세율만 발표되었으며 아직 잠정 관세 미 부과 단계, 향후 잠정 관세 부과에 대해 추가 발표 예정 "
253,EU,7208,베트남,2024-08,2024-08-08,,investigating,반덤핑,조사중,0,"ㅇ 판정결과(잠정,사전고지) :   · 이집트: 15.6%  · 일본: 6.9~33%  · 베트남: 12.1%*인도는 반덤핑 무혐의 판정*2025.3.14: 잠정 관세에 대한 사전 고지 발표, 잠정 관세율만 발표되었으며 아직 잠정 관세 미 부과 단계, 향후 잠정 관세 부과에 대해 추가 발표 예정 "
274,AU,7212,중국,2021-11,2021-11-26,2026-11-26,confirmed,반덤핑,규제중,0,ㅇ 판정결과 : 17.3%
278,AU,7225,핀란드,2014-11,2014-11-05,2029-11-05,confirmed,반덤핑,규제중,0,ㅇ 판정결과   · 핀란드 : 8.6%  · 일본 : 5.2%  · 스웨덴 : 8.6%* 일몰재심 후 조치 유지 결정(2024.11.5~)
278,AU,7225,일본,2014-11,2014-11-05,2029-11-05,confirmed,반덤핑,규제중,0,ㅇ 판정결과   · 핀란드 : 8.6%  · 일본 : 5.2%  · 스웨덴 : 8.6%* 일몰재심 후 조치 유지 결정(2024.11.5~)
278,AU,7225,스웨덴,2014-11,2014-11-05,2029-11-05,confirmed,반덤핑,규제중,0,ㅇ 판정결과   · 핀란드 : 8.6%  · 일본 : 5.2%  · 스웨덴 : 8.6%* 일몰재심 후 조치 유지 결정(2024.11.5~)
